Campaign,Start,End,Reach
LCV,2018-05-13,2018-08-06,3524712
LCV,2018-05-14,2018-05-14,675968
LCV,2018-05-14,2018-05-15,1377280
LCV,2018-05-14,2018-05-16,2159108
LCV,2018-05-14,2018-05-17,2688019
LCV,2018-05-14,2018-05-18,2793099
LCV,2018-05-14,2018-05-19,2905406
LCV,2018-05-14,2018-05-20,2942483
LCV,2018-05-14,2018-05-21,2957424
LCV,2018-05-14,2018-05-22,2968497
LCV,2018-05-14,2018-05-23,3020153
LCV,2018-05-14,2018-05-24,3109151
LCV,2018-05-14,2018-05-25,3208891
LCV,2018-05-14,2018-05-26,3258317
LCV,2018-05-14,2018-05-27,3316511
LCV,2018-05-14,2018-05-28,3340533
LCV,2018-05-14,2018-05-29,3340533
LCV,2018-05-14,2018-05-30,3356789
LCV,2018-05-14,2018-05-31,3363405
LCV,2018-05-14,2018-08-03,3363405
LCV,2018-05-14,2018-08-04,3363405
LCV,2018-05-14,2018-08-05,3363405
LCV,2018-05-14,2018-08-06,3363405
LCV,2018-05-15,2018-05-15,844928
LCV,2018-05-15,2018-05-16,1804804
LCV,2018-05-15,2018-05-17,2396181
LCV,2018-05-15,2018-05-18,2510626
LCV,2018-05-15,2018-05-19,2627113
LCV,2018-05-15,2018-05-20,2677034
LCV,2018-05-15,2018-05-21,2714584
LCV,2018-05-15,2018-05-22,2732284
LCV,2018-05-15,2018-05-23,2791430
LCV,2018-05-15,2018-05-24,2880808
LCV,2018-05-15,2018-05-25,2982044
LCV,2018-05-15,2018-05-26,3031460
LCV,2018-05-15,2018-05-27,3090161
LCV,2018-05-15,2018-05-28,3114182
LCV,2018-05-15,2018-05-29,3114182
LCV,2018-05-15,2018-05-30,3132484
LCV,2018-05-15,2018-05-31,3140124
LCV,2018-05-15,2018-08-03,3140124
LCV,2018-05-15,2018-08-04,3140124
LCV,2018-05-15,2018-08-05,3140124
LCV,2018-05-15,2018-08-06,3140124
LCV,2018-05-16,2018-05-16,1255429
LCV,2018-05-16,2018-05-17,1984023
LCV,2018-05-16,2018-05-18,2125816
LCV,2018-05-16,2018-05-19,2252649
LCV,2018-05-16,2018-05-20,2313368
LCV,2018-05-16,2018-05-21,2371485
LCV,2018-05-16,2018-05-22,2402460
LCV,2018-05-16,2018-05-23,2479759
LCV,2018-05-16,2018-05-24,2582287
LCV,2018-05-16,2018-05-25,2691163
LCV,2018-05-16,2018-05-26,2742106
LCV,2018-05-16,2018-05-27,2801827
LCV,2018-05-16,2018-05-28,2826360
LCV,2018-05-16,2018-05-29,2826360
LCV,2018-05-16,2018-05-30,2849271
LCV,2018-05-16,2018-05-31,2858447
LCV,2018-05-16,2018-08-03,2858447
LCV,2018-05-16,2018-08-04,2858447
LCV,2018-05-16,2018-08-05,2858447
LCV,2018-05-16,2018-08-06,2858447
LCV,2018-05-17,2018-05-17,1089559
LCV,2018-05-17,2018-05-18,1334467
LCV,2018-05-17,2018-05-19,1498062
LCV,2018-05-17,2018-05-20,1602962
LCV,2018-05-17,2018-05-21,1705557
LCV,2018-05-17,2018-05-22,1782839
LCV,2018-05-17,2018-05-23,1980406
LCV,2018-05-17,2018-05-24,2109161
LCV,2018-05-17,2018-05-25,2226656
LCV,2018-05-17,2018-05-26,2281680
LCV,2018-05-17,2018-05-27,2346006
LCV,2018-05-17,2018-05-28,2372588
LCV,2018-05-17,2018-05-29,2372588
LCV,2018-05-17,2018-05-30,2400620
LCV,2018-05-17,2018-05-31,2412870
LCV,2018-05-17,2018-08-03,2412870
LCV,2018-05-17,2018-08-04,2412870
LCV,2018-05-17,2018-08-05,2412870
LCV,2018-05-17,2018-08-06,2412870
LCV,2018-05-18,2018-05-18,418376
LCV,2018-05-18,2018-05-19,665109
LCV,2018-05-18,2018-05-20,814523
LCV,2018-05-18,2018-05-21,960028
LCV,2018-05-18,2018-05-22,1073074
LCV,2018-05-18,2018-05-23,1438011
LCV,2018-05-18,2018-05-24,1629193
LCV,2018-05-18,2018-05-25,1768434
LCV,2018-05-18,2018-05-26,1834993
LCV,2018-05-18,2018-05-27,1903425
LCV,2018-05-18,2018-05-28,1933597
LCV,2018-05-18,2018-05-29,1933597
LCV,2018-05-18,2018-05-30,1965220
LCV,2018-05-18,2018-05-31,1977472
LCV,2018-05-18,2018-08-03,1977472
LCV,2018-05-18,2018-08-04,1977472
LCV,2018-05-18,2018-08-05,1977472
LCV,2018-05-18,2018-08-06,1977472
LCV,2018-05-19,2018-05-19,357649
LCV,2018-05-19,2018-05-20,514609
LCV,2018-05-19,2018-05-21,672419
LCV,2018-05-19,2018-05-22,794395
LCV,2018-05-19,2018-05-23,1301039
LCV,2018-05-19,2018-05-24,1573709
LCV,2018-05-19,2018-05-25,1733400
LCV,2018-05-19,2018-05-26,1808229
LCV,2018-05-19,2018-05-27,1881322
LCV,2018-05-19,2018-05-28,1912529
LCV,2018-05-19,2018-05-29,1912529
LCV,2018-05-19,2018-05-30,1945212
LCV,2018-05-19,2018-05-31,1957987
LCV,2018-05-19,2018-08-03,1957987
LCV,2018-05-19,2018-08-04,1957987
LCV,2018-05-19,2018-08-05,1957987
LCV,2018-05-19,2018-08-06,1957987
LCV,2018-05-20,2018-05-20,178928
LCV,2018-05-20,2018-05-21,345745
LCV,2018-05-20,2018-05-22,476961
LCV,2018-05-20,2018-05-23,1094593
LCV,2018-05-20,2018-05-24,1479585
LCV,2018-05-20,2018-05-25,1674087
LCV,2018-05-20,2018-05-26,1748221
LCV,2018-05-20,2018-05-27,1829049
LCV,2018-05-20,2018-05-28,1861803
LCV,2018-05-20,2018-05-29,1861803
LCV,2018-05-20,2018-05-30,1897084
LCV,2018-05-20,2018-05-31,1911406
LCV,2018-05-20,2018-08-03,1911406
LCV,2018-05-20,2018-08-04,1911406
LCV,2018-05-20,2018-08-05,1911406
LCV,2018-05-20,2018-08-06,1911406
LCV,2018-05-21,2018-05-21,204051
LCV,2018-05-21,2018-05-22,368303
LCV,2018-05-21,2018-05-23,1041155
LCV,2018-05-21,2018-05-24,1453552
LCV,2018-05-21,2018-05-25,1658661
LCV,2018-05-21,2018-05-26,1736162
LCV,2018-05-21,2018-05-27,1821111
LCV,2018-05-21,2018-05-28,1854894
LCV,2018-05-21,2018-05-29,1854894
LCV,2018-05-21,2018-05-30,1890192
LCV,2018-05-21,2018-05-31,1905031
LCV,2018-05-21,2018-08-03,1905031
LCV,2018-05-21,2018-08-04,1905031
LCV,2018-05-21,2018-08-05,1905031
LCV,2018-05-21,2018-08-06,1905031
LCV,2018-05-22,2018-05-22,198721
LCV,2018-05-22,2018-05-23,1000194
LCV,2018-05-22,2018-05-24,1435137
LCV,2018-05-22,2018-05-25,1646593
LCV,2018-05-22,2018-05-26,1726209
LCV,2018-05-22,2018-05-27,1815041
LCV,2018-05-22,2018-05-28,1848833
LCV,2018-05-22,2018-05-29,1848833
LCV,2018-05-22,2018-05-30,1884162
LCV,2018-05-22,2018-05-31,1899010
LCV,2018-05-22,2018-08-03,1899010
LCV,2018-05-22,2018-08-04,1899010
LCV,2018-05-22,2018-08-05,1899010
LCV,2018-05-22,2018-08-06,1899010
LCV,2018-05-23,2018-05-23,952578
LCV,2018-05-23,2018-05-24,1419265
LCV,2018-05-23,2018-05-25,1637121
LCV,2018-05-23,2018-05-26,1719553
LCV,2018-05-23,2018-05-27,1811969
LCV,2018-05-23,2018-05-28,1845761
LCV,2018-05-23,2018-05-29,1845761
LCV,2018-05-23,2018-05-30,1881090
LCV,2018-05-23,2018-05-31,1895938
LCV,2018-05-23,2018-08-03,1895938
LCV,2018-05-23,2018-08-04,1895938
LCV,2018-05-23,2018-08-05,1895938
LCV,2018-05-23,2018-08-06,1895938
LCV,2018-05-24,2018-05-24,1294848
LCV,2018-05-24,2018-05-25,1589505
LCV,2018-05-24,2018-05-26,1683457
LCV,2018-05-24,2018-05-27,1774081
LCV,2018-05-24,2018-05-28,1821697
LCV,2018-05-24,2018-05-29,1821697
LCV,2018-05-24,2018-05-30,1859073
LCV,2018-05-24,2018-05-31,1874433
LCV,2018-05-24,2018-08-03,1874433
LCV,2018-05-24,2018-08-04,1874433
LCV,2018-05-24,2018-08-05,1874433
