Date,Category ,Summary,Link 
2018-06-04,Progress Michigan ,"Tuesday is the deadline for the legislature to either move ahead on approving the legalization of recreational marijuana or to leave it up to voters in November. Supporters turned in more than 300,000 petition signatures to put the issue on the November ballot.  The initiative would legalize and regulate marijuana for recreational use for Michiganders over 21 years old.",http://michiganradio.org/post/marijuana-advocates-closely-watching-michigan-lawmakers-deadline-approaches
2018-06-04,LCV ,Snyder has voiced in an interview that fixes will only be temporary and Line 5 should eventually be de-commissioned. ,http://wkar.org/post/snyder-line-5-should-eventually-be-shut-down#stream/0
2018-06-04,Planned Parenthood,"More than a dozen governors have said they will take legal action against the Trump administration if they move ahead with cutting Title X funding to clinics. The governors sent a letter Thursday to the  Health and Human Services Secretary, emphasizing the importance of protecting Title X. ",https://abcnews.go.com/Politics/14-democratic-governors-sue-trump-administration-cuts-planned/story?id=55589431
2018-06-04,Planned Parenthood,"A ""yes means yes"" bill has been sponsored by a Michigan Democrat and is awaiting a house vote. The bill aims to introduce relationship violence and consent as mandatory topics in sex education in Michigan public schools. ",https://www.freep.com/story/news/local/michigan/2018/06/03/michigan-sex-ed-yes-consent-curriculum/667945002/
2018-06-05,LCV ,"Snyder's administration is in talks with Enbridge regarding a utility corridor (""the tunnel""). Enbridge is expected to submit an alternatives report by June 15th outlining potential costs, engineering considerations and environmental impacts. The Great Lakes Business Network has released a report outlining an alternative propane pipeline that would end before the straits. ",https://www.detroitnews.com/story/news/local/michigan/2018/06/05/michigan-utility-corridor-line-5/670067002/
2018-06-05,Progress Michigan ,Today is the deadline for  lawmakers to approve a proposal to legalize marijuana. If not approved today it will end up on the November ballot. ,https://www.detroitnews.com/story/news/local/michigan/2018/06/05/michigan-pot-legalization-deadline/672261002/
2018-06-05,Michigan Gubernatorial Race,"The Aug. 7 primary will be the first statewide election in which every city and township will use all new voting equipment that includes optical-scan ballot tabulators, accessible voting devices for voters with disabilities, and election-management and reporting software. 

",http://www.upmatters.com/news/local-news/michigan-upgrades-election-security-for-2018/1210153563
2018-06-05,Michigan Gubernatorial Race,"[Rep: Schuette] Schuette continues to use Granholm's legacy (Michigan governor before Snyder) as a campaign issue. Schuette is trying to associate Granholm with Whitmer and Calley, using them to contrast his stance on taxes and spending - positing himself as the ""jobs governor"" who will cut taxes. ",http://michiganradio.org/post/after-8-years-gop-control-schuette-wants-michiganders-re-visit-granholms-legacy
2018-06-05,Planned Parenthood,"Planned Parenthood has launched an online tracking tool called Tracking Trump. It outlines how the Trump-Pence administration is attacking people's reproductive and sexual health rights with a timeline of events, list of key players and descriptions of specific policies. It also has a chrome extension  to alert you of new events! ",https://www.trackingtrump.org/
2018-06-05,Progress Michigan ,"Michigan lawmakers could vote this week on a legislative initiative to eliminate the state's prevailing wage for public construction projects. Republican house members support the initiative, stating it will save taxpayer dollars on public projects - they are pushing to vote on it this week. Democrats are against the initiative as the state currently has labor shortages in the building trades. ",http://www.mlive.com/news/index.ssf/2018/06/michigan_lawmakers_poised_to_e.html#incart_river_index
2018-06-05,Progress Michigan ,Schools are closed for the day in a southwestern Michigan district after comments were overheard referencing violence against the school and graffiti referencing guns was found. The schools are scheduled to reopen Wednesday with increased police presence. ,https://www.detroitnews.com/story/news/local/michigan/2018/06/05/schools-closed-michigan-graffiti-guns-violence/35707773/
2018-06-06,Michigan Gubernatorial Race,[Rep: Schuette] Mike Pence is expected to attend a private fundraiser in Michigan this month for Schuette. The event is June 15th. ,https://www.detroitnews.com/story/news/local/michigan/2018/06/05/pence-bill-schuette-fundraiser-michigan/675249002/
2018-06-06,Progress Michigan ,Progress Michigan has made a site and story book detailing the ties between DeVoss and Schuette. Betsy DeVoss' organizations have donated $122K to Scheutte's campaign. ,https://www.metrotimes.com/news-hits/archives/2018/06/05/betsy-devos-orgs-donate-122k-to-bill-schuette-and-theres-a-childrens-book-about-them
